time,x,y,z
0,1.757,4.985,7.5457
0.029876,1.757,5.0531,8.0769
0.060028,1.3348,4.8625,8.0496
0.089935,1.185,5.094,8.1586
0.12009,1.2258,5.094,8.4991
0.14996,1.185,5.1757,8.431
0.18039,0.92618,5.2166,7.8589
0.20993,0.84446,5.5571,8.0088
0.23999,1.0351,5.5571,8.0496
0.26996,0.99429,5.2438,8.1586
0.30005,0.69464,5.2847,8.1177
0.32996,0.65378,5.1757,8.2403
0.35998,0.76274,5.2166,8.431
0.38995,0.61292,5.4073,8.1995
0.42111,0.46309,5.4345,7.6683
0.44989,0.61292,5.3256,7.7364
0.47989,0.72188,5.2847,7.927
0.50986,0.42223,5.3256,7.5457
0.54144,0.38137,5.4073,7.6683
0.57007,0.76274,5.5571,8.1177
0.60004,0.61292,5.7069,8.0769
0.62991,0.46309,5.6252,7.8862
0.65991,0.38137,5.5162,7.8589
0.69031,0.42223,5.5162,7.927
0.72,0.42223,5.4345,7.8589
0.74991,0.38137,5.4754,7.6955
0.77991,0.76274,5.4073,7.7772
0.81006,0.57205,5.6252,7.6955
0.84,-0.46309,5.2166,7.2052
0.88007,-0.46309,6.0202,7.5048
0.91025,-0.42223,5.5571,8.3901
0.94986,-1.2667,6.5105,7.1643
0.98028,-0.46309,6.5105,7.355
1.0099,0.081722,4.6718,8.3901
1.0401,-0.040861,4.0997,8.8532
1.0858,-0.040861,5.5571,8.7715
1.16,-0.27241,6.1292,6.8238
1.1899,0.081722,5.7886,7.1643
1.2199,0.42223,5.7478,7.5457
1.25,0.92618,6.3198,7.5457
1.28,1.0351,6.5514,6.8238
1.32,1.3757,6.7829,6.3198
1.3499,2.4925,7.246,6.9328
1.3799,2.4517,7.0826,6.7012
1.4099,2.0294,6.851,6.279
1.4399,2.0294,6.4424,6.7012
1.47,1.8796,6.3198,6.7421
1.4999,1.6481,6.0883,6.4016
1.5299,1.8796,5.9385,6.6331
1.56,2.4517,5.8567,7.4367
1.5899,2.4517,6.3198,7.2733
1.62,2.6015,6.6604,7.0553
1.6499,2.6423,6.9736,7.0553
1.68,2.3018,6.851,6.7421
1.7099,1.9886,6.6331,6.7012
1.74,1.8387,6.4424,6.8919
1.77,1.6889,6.4697,6.851
1.82,1.9886,6.4016,6.851
1.8805,-3.1463,13.484,1.6072
1.9102,-2.261,13.062,1.6889
1.941,-0.61292,12.149,0.23155
1.9702,0.69464,11.645,-0.88532
2.0107,1.5663,11.141,-0.46309
2.0401,1.4165,10.12,1.3757
2.0706,0.27241,9.0439,1.7298
2.1002,-0.46309,7.5457,-0.29965
2.1313,-0.69464,6.6331,-0.8036
2.1701,-1.4165,6.0474,0.10896
2.2146,-2.2201,6.2381,1.4982
2.2513,-2.6423,7.0826,1.8387
2.2902,-3.1054,7.355,1.6072
2.3301,-2.9829,8.0088,2.1112
2.3772,-3.7865,10.338,2.261
2.4371,-4.6718,13.144,1.8387
2.4763,-3.6775,13.443,2.152
2.5301,-1.9477,12.177,0.72188
2.5703,-0.23155,9.8475,-2.1793
2.6004,0.23155,9.3844,-1.6481
2.6302,-0.88532,9.5342,-0.46309
2.6602,-0.91256,9.1529,-0.42223
2.6902,-0.72188,8.2403,-0.46309
2.7204,-1.1441,7.0826,0.081722
2.7502,-1.4982,6.7421,0.14982
2.7804,-1.5663,6.8238,-0.46309
2.8104,-1.6889,7.1643,-0.46309
2.8405,-1.9205,7.5865,0.42223
2.8702,-2.5606,8.3084,0.57205
2.9008,-3.5958,9.616,0.10896
2.9302,-4.0997,11.305,0.14982
2.9609,-4.2087,12.367,0.65378
2.9903,-4.4811,12.449,1.4574
3.0216,-3.909,12.367,2.3699
3.0511,-3.8682,12.027,1.757
3.0907,-3.5958,10.692,-0.72188
3.1203,-0.91256,10.311,-1.9886
3.1509,0.14982,11.305,-1.8387
3.1801,0.10896,11.536,-0.040861
3.2108,-0.46309,11.032,0.84446
3.2483,-0.65378,9.616,-0
3.2802,-1.076,7.5048,-0.040861
3.3102,-1.3757,6.2109,0.34051
3.3502,-1.185,5.4754,0.27241
3.3808,-1.185,5.4073,0.8036
3.4103,-1.4165,5.9385,0.99429
3.4406,-1.3757,7.0553,0.53119
3.4702,-0.95342,8.2403,0.42223
3.5002,-0.61292,9.4253,0.99429
3.5302,-0.29965,10.46,1.4574
3.5604,-0,10.992,2.0294
3.5902,0.38137,10.651,2.4108
3.6203,0.46309,10.188,2.8739
3.6504,-0.040861,11.795,2.833
3.6805,-1.0351,14.097,1.1441
3.7103,-2.0294,13.443,-1.6481
3.7402,-1.3757,11.073,-3.2961
3.7704,-1.2258,10.12,-1.7298
3.8007,-2.0703,10.27,-1.6481
3.8302,-1.9886,10.338,-2.7241
3.8609,-1.076,9.7249,-1.8387
3.8902,-1.076,8.1995,-0.081722
3.9204,-0.99429,6.9736,-0.27241
3.9502,-0.65378,6.8238,-1.5255
3.9803,-0.88532,7.2733,-1.6889
4.0103,-0.84446,7.8589,-0.69464
4.0507,-0.91256,8.2812,0.27241
4.0802,-1.4574,8.1995,0.081722
4.1108,-1.9886,8.3493,-0.42223
4.1402,-2.261,8.9213,-0.27241
4.1708,-2.6832,9.8475,0.31327
4.2002,-2.833,11.496,0.50395
4.2307,-3.5685,12.108,0.69464
4.2602,-3.8682,11.959,0.88532
4.2907,-3.5277,12.599,0.38137
4.3201,-3.0237,12.871,-0.29965
4.3509,-1.6072,11.918,-0.65378
4.3802,0.42223,11.414,-0.38137
4.4182,0.72188,11.223,-0.38137
4.4503,-0.081722,10.12,0.34051
4.4802,-0.46309,8.8532,0.31327
4.5113,-0.42223,7.464,-0.34051
4.5403,-0.76274,6.4424,-0.14982
4.5714,-1.3348,6.0883,0.50395
4.6002,-1.5663,6.4016,1.185
4.6894,-1.757,7.0145,1.185
4.7803,0.14982,11.182,-1.2667
4.8104,1.4982,10.76,-0.69464
4.8401,1.2258,10.188,-0.040861
4.9204,-0,9.0848,0.92618
4.9602,0.081722,5.7069,-0.10896
4.9901,-0,4.985,-0.10896
5.0201,-0.19068,5.0123,-0.14982
5.0502,-0.42223,5.6252,-0.27241
5.0801,-0.88532,6.5922,0.50395
5.1102,-1.5663,8.1586,1.185
5.1403,-2.6832,10.188,0.88532
5.1702,-3.337,12.027,0.57205
5.2001,-3.3642,13.144,0.92618
5.2302,-3.1463,13.375,1.2258
5.2602,-2.4517,13.716,1.2667
5.2902,-0.8036,12.027,0.46309
5.3201,1.185,10.992,-0.72188
5.3501,2.1793,11.918,-1.4982
5.38,3.5277,12.068,-1.076
5.4102,1.5391,10.883,0.38137
5.44,-0.38137,8.9622,0.57205
5.4702,-0.23155,7.4367,-0.69464
5.5001,-0.42223,6.2109,-0.88532
5.5302,-1.0351,5.7069,-0
5.5601,-1.3757,5.4073,0.95342
